"Name";"Idx";"Razdel";"Kod";"Nomdescr";"global_id";
"Наименование";"Индекс";"Код раздела";"Код";"Описание";"global_id";
"Услуги организаторов лотерей";"R.92.21";"R";"92.21";"";"273496917";
"Услуги организаторов лотерей";"R.92.21.1";"R";"92.21.1";"";"273496919";
"Услуги организаторов лотерей";"R.92.21.10";"R";"92.21.10";"";"273496920";
"Услуги организаторов лотерей";"R.92.21.10.000";"R";"92.21.10.000";"";"273496922";
"Услуги операторов лотерей";"R.92.22";"R";"92.22";"";"273496924";
"Услуги операторов лотерей";"R.92.22.1";"R";"92.22.1";"";"273496926";
"Услуги операторов лотерей";"R.92.22.10";"R";"92.22.10";"";"273496928";
"Услуги операторов лотерей";"R.92.22.10.000";"R";"92.22.10.000";"";"273496930";
"Услуги распространителей лотерейных билетов";"R.92.23";"R";"92.23";"";"273496931";
"Услуги распространителей лотерейных билетов";"R.92.23.1";"R";"92.23.1";"";"273496933";
"Услуги распространителей лотерейных билетов";"R.92.23.10";"R";"92.23.10";"Эта группировка включает: - услуги по распространению лотерейных билетов среди участников лотереи, прием лотерейных ставок, выплату, передачу или предоставление выигрышей";"273496935";
"Услуги распространителей лотерейных билетов";"R.92.23.10.000";"R";"92.23.10.000";"";"273496936";
"Услуги, связанные со спортом, и услуги по организации развлечений и отдыха";"R.93";"R";"93";"";"273496938";
"Услуги в области спорта";"R.93.1";"R";"93.1";"";"273496939";
"Услуги спортивных объектов";"R.93.11";"R";"93.11";"";"273496942";
"Услуги спортивных объектов";"R.93.11.1";"R";"93.11.1";"";"273496945";
"Услуги спортивных объектов";"R.93.11.10";"R";"93.11.10";"Эта группировка включает: - услуги по эксплуатации закрытых и открытых спортивных объектов, таких как стадионы, спортивные арены, катки, плавательные бассейны, спортивные поля, площадки для игры в гольф, кегельбаны, теннисные корты, манежи и т. д., и доступу к ним; - эксплуатацию треков для автомобильных гонок, собачьих бегов и лошадиных скачек; - услуги по организации и проведению спортивных мероприятий на открытом воздухе или в закрытом помещении, для профессионалов или любителей, которые предоставляют организации с собственными объектами Эта группировка не включает: - услуги по эксплуатации лыжных подъемников, см. 49.39.20; - услуги по управлению нежилой недвижимостью на основе вознаграждения или договора, см. 68.32.13; - прокат инвентаря для отдыха и спортивного инвентаря, см. 77.21.10; - услуги центров фитнеса, см. 93.13.10; - услуги парков отдыха и пляжей, см. 93.29.11";"273496947";
"Услуги спортивных объектов";"R.93.11.10.000";"R";"93.11.10.000";"";"273496949";
"Услуги, оказываемые спортивными клубами";"R.93.12";"R";"93.12";"";"273496951";
"Услуги, оказываемые спортивными клубами";"R.93.12.1";"R";"93.12.1";"";"273496953";
"Услуги, оказываемые спортивными клубами";"R.93.12.10";"R";"93.12.10";"Эта группировка не включает: - услуги профессиональных спортивных инструкторов, учителей, тренеров, см. 85.51.10; - услуги по эксплуатации спортивных объектов, см. 93.11.10; - услуги по организации и проведению спортивных мероприятий на открытом воздухе или в закрытом помещении для профессионалов или любителей, которые предоставляют спортивные клубы с собственными объектами, см. 93.11.10";"273496955";
"Услуги, оказываемые спортивными клубами";"R.93.12.10.000";"R";"93.12.10.000";"";"273496957";
"Услуги фитнес-центров";"R.93.13";"R";"93.13";"";"273496959";
"Услуги фитнес-центров";"R.93.13.1";"R";"93.13.1";"";"273496960";
"Услуги фитнес-центров";"R.93.13.10";"R";"93.13.10";"Эта группировка включает: - услуги, предоставляемые клубами и центрами фитнеса и бодибилдинга Эта группировка не включает: - услуги профессиональных спортивных инструкторов, учителей, тренеров, см. 85.51.10";"273496962";
"Услуги фитнес-центров";"R.93.13.10.000";"R";"93.13.10.000";"";"273496963";
"Услуги в области спорта прочие";"R.93.19";"R";"93.19";"";"273496965";
"Услуги в области спорта прочие";"R.93.19.1";"R";"93.19.1";"";"273496967";
"Услуги по содействию в подготовке спортивных и развлекательных мероприятий";"R.93.19.11";"R";"93.19.11";"Эта группировка включает: - услуги, связанные с деятельностью по содействию и подготовке спортивных мероприятий при наличии или отсутствии спортивных сооружений Эта группировка не включает: - услуги по организации и проведению спортивных мероприятий на открытом воздухе или в закрытом помещении для профессионалов или любителей, которые предоставляют спортивные клубы с собственными объектами или без них, см. 93.11.10, 93.12.10";"273496968";
"Услуги по содействию в подготовке спортивных и развлекательных мероприятий";"R.93.19.11.000";"R";"93.19.11.000";"";"273496970";
"Услуги спортсменов и атлетов";"R.93.19.12";"R";"93.19.12";"Эта группировка включает: - услуги, оказываемые самостоятельными спортсменами и атлетами";"273496971";
"Услуги спортсменов и атлетов";"R.93.19.12.000";"R";"93.19.12.000";"";"273496973";
"Услуги вспомогательные, связанные со спортом и отдыхом";"R.93.19.13";"R";"93.19.13";"Эта группировка включает: - услуги спортивных лиг и регулирующих органов услуги, предоставляемые спортивными судьями и хронометражистами; - услуги, связанные с деятельностью заповедников для спортивного рыболовства и охотничьих заказников; - услуги по организации охоты и рыбалки; - услуги горных проводников; - услуги конюшен скаковых лошадей, питомников собак и гаражей гоночных автомобилей; - услуги, связанные с дрессировкой спортивных животных и животных для развлечения Эта группировка не включает: - услуги по прокату спортивного инвентаря, см. 77.21.10; - услуги, связанные с дрессировкой сторожевых собак, см. 80.10.19; - услуги спортивных и игровых школ, включая услуги, оказываемые спортивными инструкторами, учителями, тренерами, см. 85.51.10";"273496975";
"Услуги вспомогательные, связанные со спортом и отдыхом";"R.93.19.13.000";"R";"93.19.13.000";"";"273496977";
"Услуги в области спорта и отдыха прочие";"R.93.19.19";"R";"93.19.19";"Эта группировка включает: - услуги по затяжным прыжкам с парашютом; - услуги по занятиям дельтапланеризмом; - услуги по подводному плаванию; - прочие услуги в области спорта и отдыха, не включенные в другие группировки Эта группировка не включает: - услуги парков отдыха и пляжей, см. 93.29.11";"273496979";
"Услуги в области спорта и отдыха прочие";"R.93.19.19.000";"R";"93.19.19.000";"";"273496981";
"Услуги в области развлечений и отдыха";"R.93.2";"R";"93.2";"";"273496983";
"Услуги парков культуры и отдыха и тематических парков";"R.93.21";"R";"93.21";"";"273496985";
"Услуги парков культуры и отдыха и тематических парков";"R.93.21.1";"R";"93.21.1";"";"273496986";
"Услуги парков культуры и отдыха и тематических парков";"R.93.21.10";"R";"93.21.10";"Эта группировка включает: - услуги развлекательных парков; - услуги аттракционов и увеселительных парков; - услуги каруселей; - услуги развлекательных железных дорог";"273496988";
"Услуги парков культуры и отдыха и тематических парков";"R.93.21.10.000";"R";"93.21.10.000";"";"273496990";
"Услуги в области развлечений и отдыха прочие";"R.93.29";"R";"93.29";"";"273496992";
"Услуги в области отдыха прочие, не включенные в другие группировки";"R.93.29.1";"R";"93.29.1";"";"273496994";
"Услуги парков отдыха и пляжей";"R.93.29.11";"R";"93.29.11";"Эта группировка включает: - услуги развлекательных парков и пляжей (без пансиона), включая предоставление оборудования для отдыха, такого как купальни, помещения со шкафчиками с замками, стулья Эта группировка не включает: - услуги, связанные с деятельностью трейлерных парков, кемпингов, лагерей отдыха, лагерей для ведения охоты и рыбалки, палаточных городков и площадок, см. 55.30.1";"273496995";
"Услуги парков отдыха и пляжей";"R.93.29.11.000";"R";"93.29.11.000";"";"273496997";
"Услуги по организации отдыха и развлечений прочие, не включенные в другие группировки";"R.93.29.19";"R";"93.29.19";"Эта группировка включает: - услуги по эксплуатации бальных залов, танцевальных площадок и прочих мест отдыха, и доступу к ним; - услуги по эксплуатации горнолыжных треков; - услуги по предоставлению транспортных средств для целей развлечения, например лодок Эта группировка не включает: - услуги по эксплуатации канатных дорог, фуникулеров, лыжных подъемников и канатных подъемников, см. 49.39.20; - деятельность по предоставлению напитков на дискотеках, см. 56.30.10; - услуги по эксплуатации спортивных объектов и объектов отдыха и доступу к ним, см. 93.11.10";"273496999";
"Услуги зрелищно-развлекательные прочие, не включенные в другие группировки";"R.93.29.2";"R";"93.29.2";"";"273497003";
"Услуги по проведению фейерверков, световых и звуковых представлений";"R.93.29.21";"R";"93.29.21";"";"273497005";
"Услуги по проведению фейерверков, световых и звуковых представлений";"R.93.29.21.000";"R";"93.29.21.000";"";"273497008";
"Услуги автоматов для игр, действующих при опускании жетонов (монет)";"R.93.29.22";"R";"93.29.22";"Эта группировка включает: - игры на автоматах, действующих при опускании жетонов (монет), такие как флиппер (пинбол), настольный футбол и т. д., за исключением видеоигр Эта группировка не включает: - услуги игровых автоматов, действующих при опускании жетонов (монет), см. 92.12; - услуги развлекательных или тематических парков, см. 93.21.10";"273497009";
"Услуги автоматов для игр, действующих при опускании жетонов (монет)";"R.93.29.22.000";"R";"93.29.22.000";"";"273497011";
"Услуги зрелищно-развлекательные, не включенные в другие группировки";"R.93.29.29";"R";"93.29.29";"Эта группировка включает: - зрелищно-развлекательные услуги, не включенные в другие группировки Эта группировка не включает: - услуги по управлению нежилой недвижимостью, см. 68.32.13; - услуги театральных или художественных агентств, см. 74.90.20; - услуги по подбору актеров на роли в кино, в театр, на телевидение, см. 78.10.12; - услуги театральных и цирковых групп, см. 90.01.10";"273497013";
"Услуги зрелищно-развлекательные, не включенные в другие группировки";"R.93.29.29.000";"R";"93.29.29.000";"";"273497015";
"УСЛУГИ ОБЩЕСТВЕННЫХ ОРГАНИЗАЦИЙ; ПРОЧИЕ УСЛУГИ ДЛЯ НАСЕЛЕНИЯ";"S.";"S";"";"";"273497017";
"Услуги общественных организаций и прочих некоммерческих организаций";"S.94";"S";"94";"";"273497019";
"Услуги предпринимательских и профессиональных членских некоммерческих организаций";"S.94.1";"S";"94.1";"";"273497022";
"Услуги предпринимательских членских некоммерческих организаций";"S.94.11";"S";"94.11";"";"273497025";
"Услуги, предоставляемые коммерческими и предпринимательскими членскими организациями";"S.94.11.1";"S";"94.11.1";"";"273497027";
"Услуги предпринимательских членских некоммерческих организаций";"S.94.11.10";"S";"94.11.10";"Эта группировка включает: - услуги по представительству, услуги, связанные с переговорами, услуги по распространению информации и аналогичные услуги, оказываемые предпринимательскими членскими организациями, интересы членов которых сосредоточены на обеспечении развития и процветания предпринимательства или торговли в общей или специальной отрасли, включая торговые палаты Эта группировка не включает: - услуги по связям с общественностью, оказываемые другими лицами от имени объединения, см. 70.21.10; - услуги, предоставляемые профессиональными союзами, см. 94.20.10";"273497029";
"Услуги предпринимательских членских некоммерческих организаций";"S.94.11.10.000";"S";"94.11.10.000";"";"273497031";
"Услуги, предоставляемые профессиональными членскими организациями";"S.94.12";"S";"94.12";"";"273497033";
"Услуги, предоставляемые профессиональными членскими организациями";"S.94.12.1";"S";"94.12.1";"";"273497035";
